IdCruceros,idNacionalidad,"Pais",Fecha,idfecha,idPuerto,"Puerto",TotalPersonas,CantidadVisitas,GastoTotal,GastoTours,GastoAlimentacion,GastoTransporte,GastoShopping,GastoOtros
17541,10,"Argentina",2022-12-03,15677,1,"Montevideo",1,0,125.0,0.0,125.0,0.0,0.0,0.0
17542,10,"Argentina",2022-12-27,15701,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17543,10,"Argentina",2023-01-12,15717,1,"Montevideo",3,0,150.0,0.0,150.0,0.0,0.0,0.0
17544,10,"Argentina",2023-01-12,15717,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17545,18,"Bolivia",2023-01-22,15727,1,"Montevideo",3,0,150.0,0.0,150.0,0.0,0.0,0.0
17546,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17547,10,"Argentina",2023-02-05,15741,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17548,42,"Mexico",2023-02-10,15746,1,"Montevideo",3,0,150.0,0.0,150.0,0.0,0.0,0.0
17549,10,"Argentina",2023-02-10,15746,1,"Montevideo",1,0,150.0,0.0,150.0,0.0,0.0,0.0
17550,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17551,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17552,40,"Chile",2023-03-09,15773,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17553,19,"Brasil",2023-03-09,15773,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17554,10,"Argentina",2023-03-14,15778,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17555,10,"Argentina",2023-03-17,15781,1,"Montevideo",2,0,150.0,0.0,150.0,0.0,0.0,0.0
17556,54,"Gran Bretaña",2023-04-03,15798,1,"Montevideo",4,0,150.0,0.0,150.0,0.0,0.0,0.0
17557,10,"Argentina",2023-01-18,15723,1,"Montevideo",2,0,180.0,0.0,180.0,0.0,0.0,0.0
17558,42,"Mexico",2022-12-22,15696,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17559,19,"Brasil",2022-12-27,15701,1,"Montevideo",3,0,200.0,0.0,200.0,0.0,0.0,0.0
17560,19,"Brasil",2023-01-03,15708,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17561,19,"Brasil",2023-01-03,15708,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17562,19,"Brasil",2023-01-10,15715,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17563,19,"Brasil",2023-01-12,15717,1,"Montevideo",3,0,200.0,0.0,200.0,0.0,0.0,0.0
17564,19,"Brasil",2023-01-12,15717,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17565,19,"Brasil",2023-01-18,15723,1,"Montevideo",3,0,200.0,0.0,200.0,0.0,0.0,0.0
17566,10,"Argentina",2023-01-27,15732,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17567,19,"Brasil",2023-02-05,15741,1,"Montevideo",3,0,200.0,0.0,200.0,0.0,0.0,0.0
17568,19,"Brasil",2023-02-14,15750,1,"Montevideo",4,0,200.0,0.0,200.0,0.0,0.0,0.0
17569,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17570,10,"Argentina",2023-03-06,15770,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17571,19,"Brasil",2023-03-09,15773,1,"Montevideo",4,0,200.0,0.0,200.0,0.0,0.0,0.0
17572,10,"Argentina",2023-03-09,15773,1,"Montevideo",3,0,200.0,0.0,200.0,0.0,0.0,0.0
17573,19,"Brasil",2023-03-14,15778,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17574,19,"Brasil",2023-03-14,15778,1,"Montevideo",3,0,200.0,0.0,200.0,0.0,0.0,0.0
17575,19,"Brasil",2023-03-14,15778,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17576,10,"Argentina",2023-03-17,15781,1,"Montevideo",1,0,200.0,0.0,200.0,0.0,0.0,0.0
17577,10,"Argentina",2023-03-17,15781,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17578,10,"Argentina",2023-03-17,15781,1,"Montevideo",2,0,200.0,0.0,200.0,0.0,0.0,0.0
17579,10,"Argentina",2023-02-10,15746,1,"Montevideo",3,0,208.0,0.0,208.0,0.0,0.0,0.0
17580,10,"Argentina",2022-12-03,15677,1,"Montevideo",2,0,250.0,0.0,250.0,0.0,0.0,0.0
17581,10,"Argentina",2022-12-18,15692,1,"Montevideo",2,0,250.0,0.0,250.0,0.0,0.0,0.0
17582,40,"Chile",2023-01-04,15709,1,"Montevideo",2,0,250.0,0.0,250.0,0.0,0.0,0.0
17583,10,"Argentina",2023-01-17,15722,1,"Montevideo",2,0,250.0,0.0,250.0,0.0,0.0,0.0
17584,10,"Argentina",2023-01-18,15723,1,"Montevideo",4,0,250.0,0.0,250.0,0.0,0.0,0.0
17585,70,"EE.UU.",2023-01-27,15732,1,"Montevideo",2,0,250.0,0.0,250.0,0.0,0.0,0.0
17586,19,"Brasil",2023-03-07,15771,1,"Montevideo",1,0,250.0,0.0,250.0,0.0,0.0,0.0
17587,35,"Peru",2023-03-09,15773,1,"Montevideo",4,0,250.0,0.0,250.0,0.0,0.0,0.0
17588,35,"Peru",2023-03-14,15778,1,"Montevideo",3,0,280.0,0.0,280.0,0.0,0.0,0.0
17589,19,"Brasil",2023-01-12,15717,1,"Montevideo",3,0,300.0,0.0,300.0,0.0,0.0,0.0
17590,19,"Brasil",2023-01-31,15736,1,"Montevideo",2,0,300.0,0.0,300.0,0.0,0.0,0.0
17591,19,"Brasil",2023-02-03,15739,1,"Montevideo",3,0,300.0,0.0,300.0,0.0,0.0,0.0
17592,10,"Argentina",2023-02-08,15744,1,"Montevideo",1,0,300.0,0.0,300.0,0.0,0.0,0.0
17593,19,"Brasil",2023-02-14,15750,1,"Montevideo",3,0,300.0,0.0,300.0,0.0,0.0,0.0
17594,49,"Otro de America",2023-03-03,15767,1,"Montevideo",3,0,300.0,0.0,300.0,0.0,0.0,0.0
17595,10,"Argentina",2023-03-09,15773,1,"Montevideo",2,0,300.0,0.0,300.0,0.0,0.0,0.0
17596,19,"Brasil",2023-01-17,15722,1,"Montevideo",3,0,358.0,0.0,358.0,0.0,0.0,0.0
17597,10,"Argentina",2023-02-14,15750,1,"Montevideo",2,0,400.0,0.0,400.0,0.0,0.0,0.0
17598,19,"Brasil",2023-03-17,15781,1,"Montevideo",1,0,408.0,0.0,408.0,0.0,0.0,0.0
17599,19,"Brasil",2023-01-03,15708,1,"Montevideo",3,0,500.0,0.0,500.0,0.0,0.0,0.0
17600,19,"Brasil",2023-01-10,15715,1,"Montevideo",3,0,500.0,0.0,500.0,0.0,0.0,0.0
17601,19,"Brasil",2023-01-18,15723,1,"Montevideo",2,0,500.0,0.0,500.0,0.0,0.0,0.0
17602,54,"Gran Bretaña",2023-01-26,15731,1,"Montevideo",1,0,500.0,0.0,500.0,0.0,0.0,0.0
17603,19,"Brasil",2023-02-14,15750,1,"Montevideo",3,0,500.0,0.0,500.0,0.0,0.0,0.0
17604,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,500.0,0.0,500.0,0.0,0.0,0.0
17605,40,"Chile",2023-03-09,15773,1,"Montevideo",3,0,500.0,0.0,500.0,0.0,0.0,0.0
17606,19,"Brasil",2023-01-18,15723,1,"Montevideo",4,0,550.0,0.0,550.0,0.0,0.0,0.0
17607,19,"Brasil",2023-02-01,15737,1,"Montevideo",2,0,600.0,0.0,600.0,0.0,0.0,0.0
17608,19,"Brasil",2023-01-18,15723,1,"Montevideo",8,0,850.0,0.0,850.0,0.0,0.0,0.0
17609,51,"España",2023-03-10,15774,1,"Montevideo",1,0,250.0,0.0,250.0,0.0,0.0,0.0
17610,70,"EE.UU.",2023-02-07,15743,1,"Montevideo",2,0,290.0,0.0,290.0,0.0,0.0,0.0
17611,10,"Argentina",2023-01-04,15709,1,"Montevideo",1,0,0.27,0.0,0.27,0.0,0.0,0.0
17612,10,"Argentina",2023-01-04,15709,1,"Montevideo",3,0,0.55,0.0,0.55,0.0,0.0,0.0
17613,10,"Argentina",2023-01-04,15709,1,"Montevideo",2,0,1.1,0.0,1.1,0.0,0.0,0.0
17614,10,"Argentina",2023-01-04,15709,1,"Montevideo",1,0,1.1,0.0,1.1,0.0,0.0,0.0
17615,10,"Argentina",2023-02-08,15744,1,"Montevideo",2,0,2.61,0.0,2.61,0.0,0.0,0.0
17616,10,"Argentina",2022-12-26,15700,1,"Montevideo",4,0,5.79,0.0,5.79,0.0,0.0,0.0
17617,10,"Argentina",2023-01-10,15715,1,"Montevideo",1,0,13.71,0.0,13.71,0.0,0.0,0.0
17618,10,"Argentina",2023-02-08,15744,1,"Montevideo",4,0,26.1,0.0,26.1,0.0,0.0,0.0
17619,10,"Argentina",2023-01-22,15727,1,"Montevideo",2,0,41.12,0.0,41.12,0.0,0.0,0.0
17620,10,"Argentina",2023-03-09,15773,1,"Montevideo",2,0,49.22,0.0,49.22,0.0,0.0,0.0
17621,10,"Argentina",2023-01-12,15717,1,"Montevideo",2,0,54.83,0.0,54.83,0.0,0.0,0.0
17622,19,"Brasil",2023-02-01,15737,1,"Montevideo",1,0,14.68,6.95,7.72,0.0,0.0,0.0
17623,19,"Brasil",2023-03-09,15773,1,"Montevideo",3,0,230.59,96.08,134.51,0.0,0.0,0.0
17624,19,"Brasil",2023-01-17,15722,1,"Montevideo",6,0,577.92,288.96,288.96,0.0,0.0,0.0
17625,19,"Brasil",2023-01-10,15715,1,"Montevideo",2,0,1.16,0.0,1.16,0.0,0.0,0.0
17626,19,"Brasil",2023-01-17,15722,1,"Montevideo",2,0,1.93,0.0,1.93,0.0,0.0,0.0
17627,19,"Brasil",2023-03-21,15785,1,"Montevideo",2,0,3.65,0.0,3.65,0.0,0.0,0.0
17628,19,"Brasil",2023-02-14,15750,1,"Montevideo",2,0,3.86,0.0,3.86,0.0,0.0,0.0
17629,19,"Brasil",2023-03-14,15778,1,"Montevideo",2,0,9.61,0.0,9.61,0.0,0.0,0.0
